ID,title,booktitle,author,pages,year,organization,ENTRYTYPE,publisher,journal,number,volume
2962,FATE and DESTINI: A Framework for Cloud Recovery Testing.,NSDI,"Gunawi, Haryadi S and Do, Thanh and Joshi, Pallavi and Alvaro, Peter and Hellerstein, Joseph M and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Sen, Koushik and Borthakur, Dhruba",,2011,,inproceedings,,,,
2963,De-indirection for flash-based SSDs with nameless writes.,FAST,"Zhang, Yiying and Arulraj, Leo Prasath and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",1,2012,,inproceedings,,,,
2964,High-performance sorting on networks of workstations,ACM SIGMOD Record,"Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Culler, David E and Hellerstein, Joseph M and Patterson, David A",243--254,1997,ACM,inproceedings,,,2,26
2965,"Semantically-smart disk systems: past, present, and future",,"Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Bairavasundaram, Lakshmi N and Denehy, Timothy E and Popovici, Florentina I and Prabhakaran, Vijayan and Sivathanu, Muthian",29--35,2006,,article,ACM,ACM SIGMETRICS Performance Evaluation Review,4,33
2966,Snapshots in a Flash with ioSnap,Proceedings of the Ninth European Conference on Computer Systems,"Subramanian, Sriram and Sundararaman, Swaminathan and Talagala, Nisha and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",23,2014,ACM,inproceedings,,,,
2967,Systematically benchmarking the effects of disk pointer corruption,,"Bairavasundaram, Lakshmi N and Rungta, Meenali and Agrawal, Nitin and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Swift, Michael M",,2008,,article,,Proceedings of the International Conference on Dependable Systems and Networks (DSN’08),,
2968,Datamation 2001: A sorting odyssey,,"Popovici, F and Bent, J and Forney, B and Dusseau, AA and Dusseau, RA",,2001,,article,,Sort Benchmark Home Page,,
2969,Geiger: monitoring the buffer cache in a virtual machine environment,ACM SIGOPS Operating Systems Review,"Jones, Stephen T and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",14--24,2006,ACM,inproceedings,,,5,40
2970,Parallel programming in Split-C,Supercomputing'93. Proceedings,"Culler, David E and Dusseau, Andrea and Goldstein, Seth Copen and Krishnamurthy, Arvind and Lumetta, Steven and Von Eicken, Thorsten and Yelick, Katherine",262--273,1993,IEEE,inproceedings,,,,
2971,"John Bent, Andrea Arpaci-Dusseau, Remzi Arpaci-Dusseau, and Miron Livny. Gathering at the well: Creating communities for grid I/O",,"Thain, Douglas",,2001,,article,,Proceedings of Supercomputing,,
2972,Semantically-Smart Disk Systems.,,"Sivathanu, Muthian and Prabhakaran, Vijayan and Popovici, Florentina I and Denehy, Timothy E and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",73--88,2003,,article,,FAST,,3
2973,Model-driven pose correction,"Robotics and Automation, 1992. Proceedings., 1992 IEEE International Conference on","Roth, Yuval and Win, Annie S and Arpaci, Remzi H and Weymouth, Terry and Jain, Ramesh",2625--2630,1992,IEEE,inproceedings,,,,
2974,Pipeline and batch sharing in grid workloads,"High Performance Distributed Computing, 2003. Proceedings. 12th IEEE International Symposium on","Thain, Douglas and Bent, John and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Livny, Miron",152--161,2003,IEEE,inproceedings,,,,
2975,Modeling parallel sorts with LogP on the CM-5,,"Dusseau, Andrea Carol",,1994,,book,"Computer Science Division (EECS), University of California",,,
2976,Deconstructing commodity storage clusters,ACM SIGARCH Computer Architecture News,"Gunawi, Haryadi S and Agrawal, Nitin and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Schindler, Jiri",60--71,2005,IEEE Computer Society,inproceedings,,,2,33
2977,Zettabyte reliability with flexible end-to-end data integrity,"Mass Storage Systems and Technologies (MSST), 2013 IEEE 29th Symposium on","Zhang, Yupu and Myers, Daniel S and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",1--14,2013,IEEE,inproceedings,,,,
2978,ROOT: replaying multithreaded traces with resource-oriented ordering,Proceedings of the Twenty-Fourth ACM Symposium on Operating Systems Principles,"Weiss, Zev and Harter, Tyler and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",373--387,2013,ACM,inproceedings,,,,
2979,The interaction of parallel and sequential workloads on a network of workstations,,"Arpaci, Remzi H and Dusseau, Andrea C and Vahdat, Amin M and Liu, Lok T and Anderson, Thomas E and Patterson, David A",267--278,1995,,article,ACM,ACM SIGMETRICS Performance Evaluation Review,1,23
2980,Explicit Control in the Batch-Aware Distributed File System.,,"Bent, John and Thain, Douglas and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Livny, Miron",365--378,2004,,article,,NSDI,,4
2981,EIO: Error Handling is Occasionally Correct.,,"Gunawi, Haryadi S and Rubio-Gonz{\'a}lez, Cindy and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Liblit, Ben",1--16,2008,,article,,FAST,,8
2982,Optimistic crash consistency,Proceedings of the Twenty-Fourth ACM Symposium on Operating Systems Principles,"Chidambaram, Vijay and Pillai, Thanumalayan Sankaranarayana and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",228--243,2013,ACM,inproceedings,,,,
2983,Parallel computing on the Berkeley NOW,,"Culler, David E and Arpaci-Dusseau, Andrea and Arpaci-Dusseau, Remzi and Chun, Brent and Lumetta, Steven and Mainwaring, Alan and Martin, Richard and Yoshikawa, Chad and Wong, Frederick",,1997,,article,,9th Joint Symposium on Parallel Processing,,
2984,Fast parallel sorting under LogP: from theory to practice,,"Culler, DAVID E and Dusseau, A and Martin, R and Schauser, KLAUS ERIK",71--98,1993,,article,,Portability and Performance for Parallel Processing,,
2985,Beyond Storage APIs: Provable Semantics for Storage Stacks,,"Alagappan, Ramnatthan and Chidambaram, Vijay and Pillai, Thanumalayan Sankaranarayana and Albarghouthi, Aws and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",,,,article,USENIX Association,15th Workshop on Hot Topics in Operating Systems (HotOS XV),,
2986,Introduction to split-c,,"Culler, David E and Dusseau, Andrea and Goldstein, Seth C and Krishnamurthy, Arvind and Lumetta, Steven and Luna, Steve and von Eicken, Thorsten and Yelick, Katherine",,1995,,article,,,,
2987,Fail-stutter fault tolerance,"Hot Topics in Operating Systems, 2001. Proceedings of the Eighth Workshop on","Arpaci-Dusseau, Remzi H and Arpaci-Dusseau, Andrea C",33--38,2001,IEEE,inproceedings,,,,
2988,Warming up storage-level caches with bonfire.,FAST,"Zhang, Yiying and Soundararajan, Gokul and Storer, Mark W and Bairavasundaram, Lakshmi N and Subbiah, Sethuraman and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",59--72,2013,,inproceedings,,,,
2989,Analyzing the effects of disk-pointer corruption,"Dependable Systems and Networks With FTCS and DCC, 2008. DSN 2008. IEEE International Conference on","Bairavasundaram, Lakshmi N and Rungta, Meenali and Agrawa, N and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Swift, Michael M",502--511,2008,IEEE,inproceedings,,,,
2990,Towards realistic file-system benchmarks with CodeMRI,,"Agrawal, Nitin and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",52--57,2008,,article,ACM,ACM SIGMETRICS Performance Evaluation Review,2,36
2991,Architectural requirements and scalability of the NAS parallel benchmarks,"Supercomputing, ACM/IEEE 1999 Conference","Wong, Frederick C and Martin, Richard P and Arpaci-Dusseau, Remzi H and Culler, David E",41--41,1999,IEEE,inproceedings,,,,
2992,NeST: A Grid Enabled Storage Appliance,Grid Resource Management,"Bent, John and Venkataramani, Venkateshwaran and LeRoy, Nick and Roy, Alain and Stanley, Joseph and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Livny, Miron",341--357,2004,,incollection,Springer US,,,
2993,All file systems are not created equal: On the complexity of crafting crash-consistent applications,,"Pillai, Thanumalayan Sankaranarayana and Chidambaram, Vijay and Alagappan, Ramnatthan and Al-Kiswany, Samer and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",,2014,,article,,Proceedings of the 11th USENIX Symposium on Operating Systems Design and Implementation (OSDI’14),,
2994,Deconstructing storage arrays,ACM SIGPLAN Notices,"Denehy, Timothy E and Bent, John and Popovici, Florentina I and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",59--71,2004,ACM,inproceedings,,,11,39
2995,Generating realistic impressions for file-system benchmarking,,"Agrawal, Nitin and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",16,2009,,article,ACM,ACM Transactions on Storage (TOS),4,5
2996,Refuse to crash with Re-FUSE,Proceedings of the sixth conference on Computer systems,"Sundararaman, Swaminathan and Visampalli, Laxman and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",77--90,2011,ACM,inproceedings,,,,
2997,Effective distributed scheduling of parallel workloads,,"Dusseau, Andrea C and Arpaci, Remzi H and Culler, David E",25--36,1996,,article,ACM,ACM SIGMETRICS Performance Evaluation Review,1,24
2998,"The architectural costs of streaming I/O: A comparison of workstations, clusters, and SMPs","High-Performance Computer Architecture, 1998. Proceedings., 1998 Fourth International Symposium on","Arpaci-Dusseau, Remzi H and Arpaci-Dusseau, Andrea C and Culler, David E and Hellerstein, Joseph M and Patterson, David and others",90--101,1998,IEEE,inproceedings,,,,
2999,Improving file system reliability with I/O shepherding,ACM SIGOPS Operating Systems Review,"Gunawi, Haryadi S and Prabhakaran, Vijayan and Krishnan, Swetha and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",293--306,2007,ACM,inproceedings,,,6,41
3000,VMM-based hidden process detection and identification using Lycosid,Proceedings of the fourth ACM SIGPLAN/SIGOPS international conference on Virtual execution environments,"Jones, Stephen T and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",91--100,2008,ACM,inproceedings,,,,
3001,Get the parallelism out of my cloud,,"Sankaralingam, Karthikeyan and Arpaci-Dusseau, Remzi H",1--6,2010,,article,,Proc. of the 2nd USENIX Conf. on Hot Topics in Parallelism. Berkeley: USENIX Association,,
3002,A study of Linux file system evolution,,"Lu, Lanyue and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Lu, Shan",3,2014,,article,ACM,ACM Transactions on Storage (TOS),1,10
3003,IRAM and SmartSIMM: Overcoming the I/O bus bottleneck,,"Keeton, Kimberly and Arpaci-Dusseau, Remzi and Patterson, David A",,1997,,article,,Workshop on Mixing Logic and DRAM: Chips that Compute and Remember,,
3004,Membrane: Operating system support for restartable file systems,,"Sundararaman, Swaminathan and Subramanian, Sriram and Rajimwale, Abhishek and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Swift, Michael M",11,2010,,article,ACM,ACM Transactions on Storage (TOS),3,6
3005,ViewBox: integrating local file systems with cloud storage services.,FAST,"Zhang, Yupu and Dragga, Chris and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",119--132,2014,,inproceedings,,,,
3006,Information and control in gray-box systems,ACM SIGOPS Operating Systems Review,"Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",43--56,2001,ACM,inproceedings,,,5,35
3007,Error propagation analysis for file systems,ACM Sigplan Notices,"Rubio-Gonz{\'a}lez, Cindy and Gunawi, Haryadi S and Liblit, Ben and Arpaci-Dusseau, Remzi H and Arpaci-Dusseau, Andrea C",270--280,2009,ACM,inproceedings,,,6,44
3008,Life or Death at Block-Level.,,"Sivathanu, Muthian and Bairavasundaram, Lakshmi N and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",26--26,2004,,article,,OSDI,,4
3009,Cluster I/O with River: Making the fast case common,Proceedings of the sixth workshop on I/O in parallel and distributed systems,"Arpaci-Dusseau, Remzi H and Anderson, Eric and Treuhaft, Noah and Culler, David E and Hellerstein, Joseph M and Patterson, David and Yelick, Kathy",10--22,1999,ACM,inproceedings,,,,
3010,Parity Lost and Parity Regained.,,"Krioukov, Andrew and Bairavasundaram, Lakshmi N and Goodson, Garth R and Srinivasan, Kiran and Thelen, Randy and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",127--141,2008,,article,,FAST,,8
3011,Data-driven batch scheduling,Proceedings of the second international workshop on Data-aware distributed computing,"Bent, John and Denehy, Timothy E and Livny, Miron and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",1--10,2009,ACM,inproceedings,,,,
3012,End-to-end Data Integrity for File Systems: A ZFS Case Study.,FAST,"Zhang, Yupu and Rajimwale, Abhishek and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",29--42,2010,,inproceedings,,,,
3013,Consistency without ordering.,FAST,"Chidambaram, Vijay and Sharma, Tushar and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",9,2012,,inproceedings,,,,
3014,Dependability analysis of virtual memory systems,"Dependable Systems and Networks, 2006. DSN 2006. International Conference on","Bairavasundaram, Lakshmi N and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",355--364,2006,IEEE,inproceedings,,,,
3015,HARDFS: hardening HDFS with selective and lightweight versioning.,FAST,"Do, Thanh and Harter, Tyler and Liu, Yingchao and Gunawi, Haryadi S and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",105--118,2013,,inproceedings,,,,
3016,An analysis of data corruption in the storage stack,,"Bairavasundaram, Lakshmi N and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H and Goodson, Garth R and Schroeder, Bianca",8,2008,,article,ACM,ACM Transactions on Storage (TOS),3,4
3017,Improving storage system availability with D-GRAID,,"Sivathanu, Muthian and Prabhakaran, Vijayan and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",133--170,2005,,article,ACM,ACM Transactions on Storage (TOS),2,1
3018,The case for limping-hardware tolerant clouds,,"Do, Thanh and Gunawi, Haryadi S and Do, T and Harter, T and Liu, Y and Gunawi, HS and Arpaci-Dusseau, AC and Arpaci-Dusseau, RH",,2013,,article,,5th USENIX Workshop on Hot Topics in Cloud Computing (HotCloud),,
3019,Tolerating File-System Mistakes with EnvyFS.,USENIX Annual Technical Conference,"Bairavasundaram, Lakshmi N and Sundararaman, Swaminathan and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",,2009,,inproceedings,,,,
3020,Evolving RPC for active storage,ACM SIGPLAN Notices,"Sivathanu, Muthian and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",264--276,2002,ACM,inproceedings,,,10,37
3021,Deploying Safe User-Level Network Services with icTCP.,OSDI,"Gunawi, Haryadi S and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",317--332,2004,,inproceedings,,,,
3022,Micro-benchmark based extraction of local and global disk characteristics,,"Talagala, Nisha and Arpaci-Dusseau, Remzi Hussein and Patterson, David A",,1999,,book,"Computer Science Division, University of California",,,
3023,SQCK: A Declarative File System Checker.,OSDI,"Gunawi, Haryadi S and Rajimwale, Abhishek and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",131--146,2008,,inproceedings,,,,
3024,Getting real: lessons in transitioning research simulations into hardware systems.,FAST,"Saxena, Mohit and Zhang, Yiying and Swift, Michael M and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",215--228,2013,,inproceedings,,,,
3025,Re-examining Scheduling and Communication in Parallel Programs,,"Dusseau, Andrea C and Arpaci, Remzi H and Culler, David E",,1994,,book,"University of California, Berkeley, Computer Science Division",,,
